[ESTRUCTURA]
[INFO]
1,1
[META]
[/META]
[REJILLA]
20,10,32,32,8,8,0
[CELDAS]
0,0,1 1,0,1 2,0,1 3,0,1 4,0,1 5,0,1 6,0,1 7,0,1 11,0,1 12,0,1 13,0,1 14,0,1 15,0,1 16,0,1 17,0,1 18,0,1 19,0,1 0,1,1 19,1,1 0,2,1 3,2,1 4,2,1 5,2,1 14,2,1 15,2,1 16,2,1 19,2,1 0,3,1 6,3,1 7,3,1 8,3,1 11,3,1 12,3,1 13,3,1 19,3,1 0,6,1 3,6,1 5,6,1 14,6,1 16,6,1 19,6,1 0,7,1 3,7,1 4,7,1 5,7,1 14,7,1 15,7,1 16,7,1 19,7,1 0,8,1 19,8,1 0,9,1 1,9,1 2,9,1 3,9,1 4,9,1 5,9,1 6,9,1 7,9,1 11,9,1 12,9,1 13,9,1 14,9,1 15,9,1 16,9,1 17,9,1 18,9,1 19,9,1
[LOGICA]
0
[OBJETOS]
30,480,192,30
30,128,192,30
30,256,32,30
30,352,32,30
10,480,32,15
11,128,32,10
1,288,0,1
1,288,288,4
1,608,128,2
1,0,128,8
2,288,128
[/ESTRUCTURA]
